Categoria,Seccion,Regla_Negocio
Política de privacidad de datos del paciente,¿Qué datos personales recopila la clínica?,"La clínica recopila únicamente la información necesaria para brindar atención médica segura y de calidad. Esto incluye datos de identificación, información de contacto, antecedentes médicos, alergias, enfermedades previas, tratamientos actuales y cualquier otro dato clínico relevante. Toda la información es utilizada exclusivamente para fines asistenciales, administrativos y legales."
Política de privacidad de datos del paciente,¿Quién puede consultar mi expediente clínico?,El expediente clínico únicamente puede ser consultado por el personal médico y administrativo autorizado que participe directamente en la atención del paciente o en procesos relacionados con su tratamiento. La clínica implementa controles de acceso para evitar consultas no autorizadas y proteger la confidencialidad de la información.
Política de privacidad de datos del paciente,¿Mi información médica es confidencial?,"Sí. Toda la información médica proporcionada por el paciente es considerada confidencial y es tratada conforme a la legislación vigente sobre protección de datos personales. La clínica no divulga información médica sin autorización del paciente, salvo cuando exista una obligación legal o una situación que lo requiera para proteger la salud del propio paciente."
Política de privacidad de datos del paciente,¿La clínica comparte mis datos con otras instituciones?,"Los datos del paciente únicamente podrán compartirse cuando sea necesario para la continuidad de la atención médica, por requerimientos legales o cuando el paciente otorgue su consentimiento. En cualquier otro caso, la información permanecerá protegida y no será utilizada con fines distintos a los autorizados."
Política de privacidad de datos del paciente,¿Cómo puedo solicitar una copia de mi expediente clínico?,El paciente puede solicitar una copia de su expediente directamente en recepción o mediante los canales oficiales de la clínica. Será necesario acreditar la identidad del solicitante para proteger la privacidad de la información y evitar accesos no autorizados.
Política de privacidad de datos del paciente,¿Qué ocurre si cambio de domicilio o teléfono?,Es importante informar cualquier cambio en los datos personales para mantener actualizado el expediente clínico. Contar con información correcta permite a la clínica contactar al paciente cuando sea necesario y garantizar una adecuada continuidad en la atención médica.
Política de privacidad de datos del paciente,¿Puedo corregir información incorrecta en mi expediente?,"Sí. Si el paciente identifica errores en sus datos personales o información administrativa, puede solicitar la actualización correspondiente. La clínica revisará la solicitud y realizará las modificaciones necesarias cuando procedan, manteniendo siempre la integridad del historial médico."
Política de privacidad de datos del paciente,¿Durante cuánto tiempo conservan mi expediente?,"La clínica conserva los expedientes clínicos durante el periodo establecido por la legislación aplicable y las normas sanitarias vigentes. Una vez concluido dicho plazo, la información será eliminada o resguardada conforme a los procedimientos establecidos por la institución."
Política de privacidad de datos del paciente,¿Qué medidas utilizan para proteger mi información?,"La clínica implementa medidas de seguridad físicas, administrativas y tecnológicas para proteger la información del paciente. Estas medidas incluyen controles de acceso, respaldo de información, sistemas protegidos y procedimientos internos destinados a prevenir el uso indebido o la pérdida de datos."
Política de privacidad de datos del paciente,¿Pueden enviar mis resultados por correo electrónico?,"Sí, siempre que el paciente lo autorice y se confirme su identidad. La clínica podrá enviar resultados utilizando medios seguros con el objetivo de proteger la confidencialidad de la información médica."
Consultas y turnos,¿Cómo puedo agendar una consulta?,"Las consultas pueden programarse por teléfono, WhatsApp, página web o directamente en recepción, dependiendo de los canales disponibles de la clínica. La cita quedará confirmada una vez que se registre correctamente la información del paciente y exista disponibilidad en la agenda del médico."
Consultas y turnos,¿Puedo acudir sin cita previa?,"La clínica procura atender a todos los pacientes, sin embargo, las consultas sin cita dependerán de la disponibilidad del médico y de la carga de trabajo del día. Para evitar tiempos de espera prolongados, se recomienda programar una cita con anticipación."
Consultas y turnos,¿Qué documentos debo llevar a mi primera consulta?,"Generalmente se solicita una identificación oficial, documentos relacionados con el seguro médico en caso de contar con uno, estudios previos, recetas médicas recientes y cualquier información que pueda ayudar al médico a conocer mejor el estado de salud del paciente."
Consultas y turnos,¿Cuánto dura una consulta médica?,"La duración de una consulta puede variar según el motivo de atención y la especialidad médica. En promedio, una consulta suele durar entre veinte y cuarenta minutos, aunque el médico podrá dedicar más tiempo cuando la condición del paciente así lo requiera."
Consultas y turnos,¿Qué sucede si llego tarde a mi consulta?,"Si el paciente llega con retraso, la clínica hará lo posible por brindarle atención. No obstante, dependiendo del tiempo de demora y de la agenda del médico, la consulta podrá realizarse con un tiempo reducido o reprogramarse para otra fecha."
Consultas y turnos,¿Puedo cambiar la fecha de mi cita?,Sí. El paciente puede solicitar un cambio de fecha o de horario utilizando los canales oficiales de atención. La nueva cita estará sujeta a la disponibilidad existente en la agenda del médico.
Consultas y turnos,¿Cómo sé si mi cita quedó confirmada?,"Una vez registrada correctamente la cita, la clínica podrá enviar una confirmación mediante llamada telefónica, mensaje de texto, correo electrónico o WhatsApp, según los medios de contacto proporcionados por el paciente."
Consultas y turnos,¿Qué pasa si el médico tiene un retraso?,En ocasiones pueden presentarse retrasos debido a consultas que requieren mayor tiempo o situaciones médicas imprevistas. El personal de recepción mantendrá informado al paciente sobre el tiempo estimado de espera y ofrecerá alternativas cuando sea posible.
Consultas y turnos,¿Puedo solicitar atención con un médico específico?,"Sí. Siempre que exista disponibilidad, el paciente puede elegir al médico de su preferencia al momento de programar la cita. En caso de no haber espacios disponibles, la clínica podrá ofrecer horarios alternativos u otro especialista."
Consultas y turnos,¿Atienden pacientes nuevos?,Sí. La clínica recibe pacientes nuevos y abrirá un expediente clínico durante la primera consulta. Es recomendable llegar unos minutos antes para completar el registro y proporcionar la información necesaria.
Política de cancelaciones y reagendamiento,¿Cómo cancelo una cita médica?,"La cancelación puede realizarse mediante los canales oficiales de la clínica, como recepción, teléfono o WhatsApp. Se recomienda informar la cancelación con la mayor anticipación posible para liberar el espacio y facilitar la atención de otros pacientes."
Política de cancelaciones y reagendamiento,¿Con cuánto tiempo debo cancelar mi consulta?,"Siempre que sea posible, la clínica recomienda cancelar la cita con al menos veinticuatro horas de anticipación. Esto permite reorganizar la agenda médica y ofrecer el horario disponible a otro paciente."
Política de cancelaciones y reagendamiento,¿Puedo reagendar mi consulta?,Sí. Las consultas pueden reagendarse de acuerdo con la disponibilidad existente. El paciente deberá comunicarse con la clínica para seleccionar una nueva fecha y horario que se adapten a sus necesidades.
Política de cancelaciones y reagendamiento,¿Qué sucede si no me presento a mi cita?,"Cuando un paciente no asiste sin previo aviso, la clínica registrará la ausencia en su historial de citas. Dependiendo de las políticas internas, futuras citas podrían requerir confirmación adicional."
Política de cancelaciones y reagendamiento,¿Qué pasa si el médico cancela la consulta?,"Si por alguna circunstancia el médico no puede brindar la atención programada, la clínica notificará al paciente lo antes posible y ofrecerá una nueva fecha, un horario alternativo o, cuando sea posible, otro especialista."
Guía de convenios y coberturas médicas,¿Aceptan seguros médicos?,La clínica trabaja con diferentes aseguradoras y convenios médicos. La disponibilidad de cobertura dependerá del plan contratado por el paciente y de los acuerdos vigentes con cada institución.
Guía de convenios y coberturas médicas,¿Cómo puedo saber si mi seguro cubre la consulta?,"Antes de la cita, el paciente puede proporcionar los datos de su póliza para que el personal verifique la cobertura disponible. En algunos casos será necesario solicitar una autorización previa por parte de la aseguradora."
Guía de convenios y coberturas médicas,¿Todos los tratamientos están cubiertos por el seguro?,No necesariamente. La cobertura dependerá de las condiciones establecidas por la aseguradora y del tipo de tratamiento requerido. Algunos procedimientos pueden generar costos adicionales para el paciente.
Guía de convenios y coberturas médicas,¿Qué debo hacer si mi aseguradora solicita una autorización?,"El paciente deberá proporcionar la documentación requerida para iniciar el proceso de autorización. La clínica brindará apoyo cuando sea necesario, aunque la aprobación final dependerá de la aseguradora."
Guía de convenios y coberturas médicas,¿Puedo recibir atención si mi seguro no cubre el servicio?,Sí. El paciente podrá recibir atención médica como particular y cubrir directamente el costo correspondiente. El personal administrativo informará previamente los costos aplicables antes de iniciar el servicio.
Guía de convenios y coberturas médicas,¿Qué documentos debo presentar para utilizar mi seguro médico?,"Generalmente será necesario presentar una identificación oficial, la credencial o póliza vigente del seguro y, cuando aplique, una carta de autorización o referencia médica. Dependiendo de la aseguradora, podrían solicitarse documentos adicionales para validar la cobertura antes de brindar el servicio."
Guía de convenios y coberturas médicas,¿Qué sucede si mi póliza está vencida?,"Si la póliza no se encuentra vigente, la aseguradora podría rechazar la cobertura del servicio. En ese caso, el paciente podrá decidir si actualiza su información con la aseguradora o recibe la atención como paciente particular cubriendo los costos correspondientes."
Guía de convenios y coberturas médicas,¿La clínica puede verificar mi cobertura antes de la consulta?,"Sí. Siempre que el paciente proporcione la información necesaria, el personal administrativo podrá realizar una validación preliminar de la cobertura. Sin embargo, la autorización definitiva dependerá de la aseguradora y de las condiciones específicas de la póliza."
Guía de convenios y coberturas médicas,¿Los estudios de laboratorio están incluidos en mi seguro?,"La cobertura de estudios de laboratorio depende del convenio con la aseguradora y del plan contratado. Algunos estudios están cubiertos completamente, mientras que otros pueden requerir autorización previa o generar un pago adicional."
Guía de convenios y coberturas médicas,¿Puedo solicitar factura si pago de forma particular?,Sí. La clínica puede emitir una factura fiscal siempre que el paciente proporcione correctamente sus datos fiscales dentro del plazo establecido por la normativa vigente.
Instrucciones pre y post consulta,¿Debo llegar antes de mi consulta?,"Se recomienda presentarse entre diez y quince minutos antes de la hora programada. Esto permite realizar el registro, actualizar los datos del expediente y reducir posibles retrasos durante la atención médica."
Instrucciones pre y post consulta,¿Debo llevar estudios médicos anteriores?,"Sí. Si el paciente cuenta con análisis clínicos, radiografías, resonancias, tomografías, recetas médicas o cualquier otro estudio relacionado con su padecimiento, es recomendable llevarlos a la consulta para facilitar una mejor evaluación por parte del médico."
Instrucciones pre y post consulta,¿Debo llevar una lista de mis medicamentos?,"Es recomendable informar al médico todos los medicamentos, vitaminas o suplementos que el paciente consume actualmente. Esta información ayuda a prevenir interacciones entre medicamentos y permite tomar decisiones más seguras durante el tratamiento."
Instrucciones pre y post consulta,¿Qué debo hacer después de la consulta?,"El paciente debe seguir cuidadosamente las indicaciones proporcionadas por el médico, incluyendo la toma correcta de medicamentos, la realización de estudios solicitados y la asistencia a las consultas de seguimiento cuando sean programadas."
Instrucciones pre y post consulta,¿Qué hago si olvido las indicaciones médicas?,"Si el paciente tiene dudas sobre el tratamiento o no recuerda las indicaciones recibidas, debe comunicarse con la clínica antes de modificar o suspender cualquier medicamento. Nunca se recomienda automedicarse o cambiar el tratamiento sin orientación profesional."
Instrucciones pre y post consulta,¿Qué hago si presento una reacción al medicamento?,"Si después de iniciar el tratamiento aparece una reacción inesperada, como dificultad para respirar, inflamación importante o síntomas intensos, el paciente debe buscar atención médica inmediata. Para molestias menores, se recomienda comunicarse con la clínica para recibir orientación."
Instrucciones pre y post consulta,¿Debo acudir a una consulta de seguimiento?,Las consultas de seguimiento permiten al médico evaluar la evolución del paciente y verificar que el tratamiento esté funcionando correctamente. La necesidad de acudir dependerá del diagnóstico y de las indicaciones proporcionadas durante la consulta.
Instrucciones pre y post consulta,¿Puedo solicitar una receta nuevamente si la extravié?,"Sí. El paciente puede comunicarse con la clínica para informar la situación. Dependiendo del medicamento y de la valoración médica, podrá emitirse una nueva receta o solicitarse una consulta adicional antes de realizar la reposición."
Instrucciones pre y post consulta,¿Qué hago si mis síntomas empeoran después de la consulta?,"Si los síntomas aumentan de intensidad, aparecen nuevas molestias o el tratamiento no produce mejoría, el paciente debe comunicarse con la clínica para recibir instrucciones o programar una valoración médica lo antes posible."
Instrucciones pre y post consulta,¿Puedo realizar actividades normales después de la consulta?,"Esto dependerá del diagnóstico y del tratamiento indicado. Algunos pacientes podrán continuar con sus actividades habituales, mientras que otros deberán guardar reposo o seguir restricciones específicas recomendadas por el médico."
Consultas y turnos,¿Puedo acudir acompañado a la consulta?,"Sí. El paciente puede acudir con un acompañante, especialmente cuando se trate de menores de edad, adultos mayores o personas que requieran apoyo. En determinadas áreas o procedimientos podrán existir restricciones por razones de seguridad o espacio."
Consultas y turnos,¿Atienden a menores de edad?,"Sí. Los menores pueden recibir atención médica siempre que acudan acompañados por su padre, madre, tutor legal o la persona autorizada para tomar decisiones relacionadas con su atención médica."
Consultas y turnos,¿Qué sucede durante mi primera consulta?,"Durante la primera consulta el médico realizará una entrevista para conocer los antecedentes médicos del paciente, sus síntomas actuales y su estado general de salud. Posteriormente podrá realizar una exploración física y, si es necesario, solicitar estudios complementarios."
Consultas y turnos,¿Puedo solicitar una segunda opinión médica?,"Sí. El paciente tiene derecho a solicitar una segunda opinión con otro especialista. Para facilitar la evaluación, es recomendable llevar estudios previos, resultados de laboratorio y tratamientos realizados anteriormente."
Consultas y turnos,¿La clínica ofrece consultas virtuales?,"La disponibilidad de consultas virtuales dependerá de la especialidad médica y de las políticas de la clínica. Algunos padecimientos requieren valoración física, por lo que el médico podrá recomendar una consulta presencial."
Consultas y turnos,¿Qué hago si olvidé asistir a mi cita?,"Si el paciente no pudo asistir a la consulta, deberá comunicarse con la clínica para programar una nueva cita. Informar la ausencia ayuda a mantener una mejor organización de la agenda médica."
Consultas y turnos,¿Puedo solicitar atención el mismo día?,"Sí, siempre que exista disponibilidad en la agenda médica. La atención inmediata dependerá de la demanda del servicio y de la especialidad requerida."
Consultas y turnos,¿Cómo puedo modificar mis datos de contacto?,Los datos personales pueden actualizarse directamente en recepción o mediante los canales oficiales de atención. Mantener esta información actualizada facilita el envío de recordatorios y resultados cuando sea necesario.
Política de privacidad de datos del paciente,¿Quién puede solicitar información sobre mi estado de salud?,"La información médica únicamente puede proporcionarse al propio paciente o a las personas autorizadas por él, salvo en aquellos casos previstos por la legislación aplicable donde exista una obligación legal de proporcionar la información."
Política de privacidad de datos del paciente,¿La clínica utiliza mis datos con fines publicitarios?,No. Los datos personales del paciente no se utilizan para fines comerciales o publicitarios sin su consentimiento previo. Cualquier comunicación promocional únicamente se enviará cuando el paciente haya autorizado expresamente su recepción.
Política de privacidad de datos del paciente,¿Qué sucede si detecto un error en mis resultados?,"Si el paciente considera que existe un error en la información entregada, deberá informar inmediatamente a la clínica para que el caso sea revisado por el personal correspondiente y, de ser necesario, se realicen las correcciones pertinentes."
Política de privacidad de datos del paciente,¿Cómo protege la clínica mis datos digitales?,"La información almacenada en sistemas electrónicos cuenta con mecanismos de seguridad como autenticación de usuarios, restricciones de acceso, respaldos periódicos y medidas destinadas a prevenir accesos no autorizados o pérdidas de información."
Política de privacidad de datos del paciente,¿Puedo solicitar la eliminación de mis datos personales?,"La eliminación de datos personales dependerá de las obligaciones legales aplicables al expediente clínico. En los casos en que la legislación permita ejercer este derecho, la clínica analizará la solicitud y dará respuesta conforme a la normativa vigente."
Política de cancelaciones y reagendamiento,¿Puedo cancelar una cita por WhatsApp?,"Sí. Si la clínica ofrece atención mediante WhatsApp, el paciente podrá utilizar este medio para solicitar la cancelación o reprogramación de su cita. La solicitud será confirmada una vez que el personal administrativo procese el cambio."
Política de cancelaciones y reagendamiento,¿Existe un límite para reagendar una consulta?,"La clínica puede permitir varios cambios de fecha; sin embargo, cuando existan múltiples reprogramaciones consecutivas, podría solicitarse una nueva confirmación o aplicarse las políticas internas correspondientes para mantener una adecuada organización de la agenda."
Consultas y turnos,¿Puedo solicitar una consulta con un especialista sin referencia médica?,"Sí, en la mayoría de las especialidades el paciente puede agendar una cita directamente. Sin embargo, algunas aseguradoras o convenios médicos pueden solicitar una referencia emitida por un médico general o por otro especialista para que la consulta sea cubierta por la póliza."
Consultas y turnos,¿Qué sucede si necesito atención urgente?,"Si el paciente presenta una emergencia médica, se recomienda acudir inmediatamente al servicio de urgencias más cercano o llamar a los servicios de emergencia. La clínica puede atender urgencias menores dependiendo de su capacidad operativa, pero algunas condiciones requieren atención hospitalaria inmediata."
Consultas y turnos,¿Puedo cambiar la especialidad de mi consulta el mismo día?,"Si existen médicos disponibles en la especialidad requerida, el personal administrativo intentará realizar el cambio. En caso contrario, se ofrecerá la fecha más próxima disponible para evitar afectar la agenda de otros pacientes."
Consultas y turnos,¿Cómo puedo confirmar que mi cita sigue programada?,"El paciente puede comunicarse por teléfono, WhatsApp o consultar mediante los canales oficiales de la clínica para verificar la fecha, hora y médico asignado a su consulta antes de acudir."
Consultas y turnos,¿Qué ocurre si olvido la fecha de mi cita?,"La clínica puede enviar recordatorios utilizando los datos de contacto registrados por el paciente. Si no recibió un recordatorio, puede comunicarse con recepción para confirmar la información de su cita."
Consultas y turnos,¿Puedo solicitar una consulta para otra persona?,"Sí. Un familiar o representante puede programar una cita proporcionando la información básica del paciente. Sin embargo, durante la consulta será necesario confirmar los datos personales y médicos del paciente."
Consultas y turnos,¿Qué debo hacer si necesito una consulta el mismo día?,"La clínica revisará la disponibilidad de horarios y hará lo posible por asignar una cita. Si no existen espacios disponibles, se ofrecerá la fecha más cercana o se orientará al paciente sobre otras opciones de atención."
Consultas y turnos,¿Atienden adultos mayores?,"Sí. La clínica brinda atención a pacientes de todas las edades y procura adaptar sus servicios a las necesidades específicas de los adultos mayores, ofreciendo una atención respetuosa, segura y personalizada."
Consultas y turnos,¿Puedo acudir aunque tenga síntomas de una enfermedad contagiosa?,"Sí, pero es importante informar previamente a la clínica para que el personal pueda aplicar las medidas necesarias de prevención y, si corresponde, asignar un horario o área adecuada para reducir el riesgo de contagio."
Consultas y turnos,¿Puedo solicitar un comprobante de asistencia a mi consulta?,"Sí. Si el paciente requiere un comprobante de asistencia por motivos laborales, escolares u otros, puede solicitarlo al finalizar la consulta y será emitido conforme a las políticas de la clínica."
Política de privacidad de datos del paciente,¿Qué es un expediente clínico?,El expediente clínico es el conjunto de documentos que contienen la información médica y administrativa relacionada con la atención del paciente. Su finalidad es facilitar la continuidad del tratamiento y mantener un registro ordenado de la evolución clínica.
Política de privacidad de datos del paciente,¿Puedo autorizar a otra persona para recoger mis resultados?,"Sí. El paciente puede autorizar a otra persona para recoger sus resultados siempre que la clínica pueda verificar la autorización y la identidad de quien realiza el trámite, con el fin de proteger la confidencialidad de la información."
Política de privacidad de datos del paciente,¿Cómo protege la clínica la información impresa?,"Los documentos físicos son resguardados en áreas con acceso restringido y únicamente pueden ser consultados por personal autorizado. La clínica cuenta con procedimientos para evitar extravíos, deterioros o accesos indebidos."
Política de privacidad de datos del paciente,¿Mis datos pueden utilizarse para investigaciones médicas?,"Únicamente cuando exista autorización expresa del paciente o cuando la legislación lo permita. En estos casos, la información podrá utilizarse siguiendo protocolos éticos y garantizando la protección de la identidad del paciente."
Política de privacidad de datos del paciente,¿La clínica graba las consultas médicas?,"Las consultas no son grabadas de manera habitual. Si por motivos académicos, legales o de mejora en la atención fuera necesario realizar alguna grabación, el paciente será informado previamente y deberá otorgar su consentimiento cuando corresponda."
Política de privacidad de datos del paciente,¿Qué hago si sospecho que alguien consultó mi expediente sin autorización?,"El paciente puede presentar un reporte directamente ante la clínica. Se realizará una revisión de los registros de acceso y, en caso de detectarse alguna irregularidad, se aplicarán las medidas administrativas y legales correspondientes."
Política de privacidad de datos del paciente,¿La clínica vende mi información personal?,No. La clínica no comercializa ni vende la información personal o médica de sus pacientes. Los datos únicamente son utilizados para la prestación de los servicios de salud y el cumplimiento de obligaciones legales.
Política de cancelaciones y reagendamiento,¿Qué sucede si llego después de haber terminado mi horario de consulta?,"Cuando el horario asignado ya haya concluido, la clínica evaluará si aún es posible brindar atención ese mismo día. Si no existe disponibilidad, se ofrecerá una nueva cita en la fecha más próxima posible."
Política de cancelaciones y reagendamiento,¿Puedo reagendar mi consulta varias veces?,"Sí, aunque la clínica recomienda realizar únicamente los cambios necesarios para mantener una adecuada organización de la agenda médica. En algunos casos, múltiples reprogramaciones podrán requerir confirmaciones adicionales."
Política de cancelaciones y reagendamiento,¿Qué pasa si una emergencia me impide asistir?,"Si el paciente enfrenta una situación imprevista que le impide acudir, se recomienda informar a la clínica tan pronto como sea posible. El personal buscará ofrecer una nueva fecha disponible considerando las circunstancias presentadas."
Guía de convenios y coberturas médicas,¿Cómo sé qué servicios cubre mi convenio médico?,"La cobertura depende del convenio específico firmado con la aseguradora o institución. El personal administrativo puede orientar al paciente sobre los servicios incluidos, aunque la autorización definitiva siempre dependerá del convenio vigente."
Guía de convenios y coberturas médicas,¿Mi seguro cubre medicamentos?,"La cobertura de medicamentos depende de las condiciones establecidas por la aseguradora. Algunos planes incluyen medicamentos prescritos durante la consulta, mientras que otros únicamente cubren la atención médica."
Guía de convenios y coberturas médicas,¿Qué sucede si mi aseguradora solicita información adicional?,La clínica podrá proporcionar la documentación médica necesaria siempre que exista autorización del paciente y que dicha información sea requerida para el proceso de validación del seguro.
Guía de convenios y coberturas médicas,¿Puedo combinar el pago particular con mi seguro?,"En algunos casos sí. Si el seguro únicamente cubre una parte del servicio, el paciente podrá cubrir la diferencia correspondiente conforme a los costos vigentes de la clínica."
Instrucciones pre y post consulta,¿Debo acudir en ayunas a todas las consultas?,"No. El ayuno únicamente es necesario para ciertos estudios o procedimientos específicos. Si el paciente requiere alguna preparación especial, la clínica proporcionará las instrucciones correspondientes antes de la cita."
Instrucciones pre y post consulta,¿Puedo consumir alimentos antes de una consulta médica?,"Sí, salvo que el médico o el personal de la clínica indiquen lo contrario debido a la realización de estudios o procedimientos que requieran preparación especial."
Instrucciones pre y post consulta,¿Debo informar si estoy embarazada?,"Sí. Es importante informar al médico sobre un embarazo o la posibilidad de estar embarazada, ya que esta información puede influir en el diagnóstico, el tratamiento y la solicitud de estudios médicos."
Instrucciones pre y post consulta,¿Qué debo hacer si olvidé llevar mis estudios?,"Si olvidó sus estudios médicos, comuníquelo al médico durante la consulta. Dependiendo del caso, la valoración podrá realizarse parcialmente o será necesario reprogramar la revisión una vez que los documentos estén disponibles."
Instrucciones pre y post consulta,¿Debo suspender mis medicamentos antes de acudir?,"No suspenda ningún medicamento sin indicación médica. Si algún estudio requiere dejar de tomar un medicamento temporalmente, el médico o la clínica se lo informarán con anticipación y le explicarán cómo hacerlo de forma segura."
Instrucciones pre y post consulta,¿Qué hago si tengo dudas después de salir de la consulta?,"Si surgen dudas relacionadas con el tratamiento, los medicamentos o las indicaciones médicas, el paciente puede comunicarse con la clínica para recibir orientación. En caso de presentar síntomas graves o una emergencia, debe acudir inmediatamente al servicio médico correspondiente."
Consultas y turnos,¿Puedo solicitar una consulta de seguimiento con el mismo médico?,"Sí. Siempre que el médico tenga disponibilidad, el paciente puede programar una consulta de seguimiento con el mismo especialista. Esto favorece la continuidad del tratamiento, ya que el médico conoce el historial clínico y puede evaluar con mayor precisión la evolución del paciente."
Consultas y turnos,¿Qué sucede si necesito una receta durante mi consulta?,"Si el médico considera que el tratamiento requiere medicamentos, emitirá una receta con las indicaciones correspondientes. El paciente debe seguir exactamente la dosis, horarios y duración del tratamiento para obtener los mejores resultados."
Consultas y turnos,¿Puedo solicitar un certificado médico?,"Sí. Cuando la valoración médica lo justifique, el médico podrá emitir un certificado médico indicando el estado de salud del paciente y la información necesaria conforme a la legislación y a las políticas de la clínica."
Consultas y turnos,¿La clínica emite incapacidades médicas?,"La emisión de incapacidades dependerá de la legislación aplicable, la especialidad médica y las facultades del profesional de la salud. El médico determinará si existe una condición que justifique emitir dicho documento."
Consultas y turnos,¿Qué sucede si necesito una consulta más larga?,"Algunas enfermedades requieren una valoración más extensa. Si el médico considera que el caso necesita más tiempo, podrá ampliar la consulta o programar una nueva cita para continuar con la evaluación de forma adecuada."
Consultas y turnos,¿Puedo consultar por más de un problema de salud en la misma cita?,"Sí. Sin embargo, cuando existan múltiples padecimientos complejos, el médico podrá priorizar los problemas más importantes y recomendar consultas adicionales para brindar una atención completa sin afectar la calidad del servicio."
Consultas y turnos,¿Qué debo hacer si olvidé mi identificación oficial?,"Si no cuenta con una identificación oficial, informe la situación al personal de recepción. Dependiendo del trámite o servicio solicitado, podrá utilizar otro documento que permita verificar su identidad."
Consultas y turnos,¿Puedo cambiar el motivo de mi consulta el mismo día?,"Sí. El paciente puede explicar al médico el motivo principal de su visita durante la consulta. Si el nuevo motivo requiere una especialidad diferente o más tiempo de atención, el médico podrá recomendar una nueva cita."
Consultuas y turnos,¿Qué ocurre si necesito atención psicológica o nutricional?,"La clínica podrá orientar al paciente sobre la disponibilidad de estos servicios. Si forman parte de la cartera de especialidades, se programará una cita con el profesional correspondiente."
Consultas y turnos,¿Puedo solicitar atención para un familiar durante mi cita?,"Cada paciente requiere un expediente clínico independiente. Si un familiar necesita atención médica, será necesario registrar una consulta específica para garantizar una valoración adecuada."
Política de privacidad de datos del paciente,¿Qué derechos tengo sobre mis datos personales?,"El paciente tiene derecho a conocer qué información posee la clínica sobre él, solicitar la corrección de datos incorrectos, limitar ciertos usos cuando la legislación lo permita y recibir información clara sobre el tratamiento de sus datos personales."
Política de privacidad de datos del paciente,¿La clínica protege mis datos cuando realiza respaldos?,Sí. Los respaldos de información forman parte de las medidas de seguridad implementadas para proteger el expediente clínico. Estos archivos se almacenan utilizando mecanismos de seguridad destinados a preservar la disponibilidad e integridad de la información.
Política de privacidad de datos del paciente,¿Qué sucede con mi expediente si dejo de acudir a la clínica?,"Aunque el paciente deje de asistir durante un periodo prolongado, el expediente clínico continuará resguardándose durante el tiempo establecido por la legislación sanitaria aplicable."
Política de privacidad de datos del paciente,¿Puedo saber quién consultó mi expediente?,"La clínica mantiene controles internos sobre el acceso a los expedientes clínicos. Si existe una causa justificada, podrá revisarse la información conforme a las políticas institucionales y a la normativa vigente."
Política de privacidad de datos del paciente,¿Qué ocurre con mis datos después de un procedimiento médico?,"Toda la información generada durante procedimientos, consultas o tratamientos pasa a formar parte del expediente clínico del paciente y continúa protegida bajo las mismas medidas de confidencialidad."
Política de privacidad de datos del paciente,¿La clínica utiliza cámaras de seguridad?,"Sí. Las áreas comunes pueden contar con sistemas de videovigilancia para proteger a pacientes, visitantes y personal. Estas grabaciones se utilizan únicamente con fines de seguridad y conforme a la legislación aplicable."
Política de privacidad de datos del paciente,¿Puedo actualizar mi correo electrónico para recibir resultados?,"Sí. El paciente puede modificar sus datos de contacto en cualquier momento. Es importante mantenerlos actualizados para facilitar la entrega de resultados, recordatorios y otras comunicaciones autorizadas."
Política de privacidad de datos del paciente,¿Cómo protege la clínica mi información durante las consultas virtuales?,Las consultas virtuales se realizan utilizando plataformas autorizadas y procedimientos destinados a proteger la privacidad del paciente. La información compartida durante la consulta recibe el mismo tratamiento confidencial que una consulta presencial.
